Title,Rating,Academy Awards,Actors,Categories,Detailed_Release,Directors,Dist,Distributor Long Name,Year(DVD/Video Release Date),Golden Globes,Language,Producers,Production Companies,Quarter(Release Date),Sound Formats,Visual Formats,Writers,Total Cume,Total DVD/Video Release Window,Total Locs At Opening,Total Locs At Widest Release,Total Opening 7 Day Gross,Total Opening Day Gross,Total Opening Wknd Avg,Total Opening Wknd Gross,Total Opening Wknd Locs,Total Run Time
doctor bello,nr,,"andrea leigh, bern cohen, ebbe bassey-manczuk, genevieve nnaji, isaiah washington, jimmy jean-louis, stephanie okereke-linus, victor browne, vivica a. fox","drama, adventure",2/22/2013,tony abulu,ind,independent,,,english,tony abulu,,Q1 2013,dolby srd,digital,tony abulu,0,0,0,0,0,0,0,0,0,95
about fifty,r,,"anne-marie johnson, drew pillsbury, jessalyn gilsig, martin grey gottlieb, michaela mcmanus, wendie malick",comedy,11/11/2011,thomas johnston,smf,screen media films,2012,,english,"drew pillsbury, ian toporoff, maria t. bierniak, thomas johnston",,Q4 2011,stereo,flat,,0,95,1,1,0,0,0,0,1,0
like crazy (2011),pg13,,"anton yelchin, felicity jones, jennifer lawrence","drama, romance",10/28/2011,drake doremus,parvan,paramount vantage,2012,,english,,indian paintbrush,Q4 2011,quad,flat,"ben york jones, drake doremus","3,395,391",130,4,162,"177,996","40,751","30,785","123,140",4,90
woman in gold,pg13,,"antje traue, charles dance, daniel bruhl, elizabeth mcgovern, helen mirren, jonathan pryce, katie holmes, max irons, moritz bleibtreu, ryan reynolds, tatiana maslany","drama, foreign",04/01/2015 (wed),simon curtis,twc,the weinstein company,2015,,english,"david m. thompson, harvey weinstein","bbc films, origin pictures, peapie, ltd.",Q2 2015,quad,scope,alexi k. campbell,"33,307,793",97,28,"2,011","3,355,147","51,480","8,107","2,091,551",258,109
dirty dancing 30th anniversary,pg13,,"jennifer grey, patrick swayze",special events,01/29/2017 (sun),emile ardolino,fthm,fathom events,,,english,linda gottlieb,,Q1 2017,dolby srd,,eleanor bergstein,"1,083,945",0,568,568,"1,083,945",0,0,0,0,115
"pool boys, the",r,,"brett davern, efren ramirez, matthew lillard",comedy,9/30/2011,james b. rogers,cndgm,cinedigm entertainment,2011,,english,"bruce mcnall, jerry daigle, warren zide",,Q3 2011,dolby srd,digital,"julie o'hora, justin ware","1,955",88,87,87,"1,955","1,955",22,"1,955",87,89
"dark tower, the",pg13,,"abbey lee, alex mcgregor, claudia kim, fran kranz, idris elba, jackie earle haley, jose zuniga, matthew mcconaughey, tom taylor","horror, fantasy, science fiction, western",8/4/2017,nikolaj arcel,sny,sony,2017,,english,"akiva goldsman, brian grazer, erica huggins, ron howard, stephen king","imagine entertainment, media rights capital, weed road pictures",Q3 2017,quad,scope,anders thomas jensen,"50,701,325",88,"3,451","3,451","26,430,764","7,724,436","5,550","19,153,698","3,451",94
at the death house door,nr,,,documentary,3/21/2008,"peter gilbert, steve james",ind,independent,,,english,"peter gilbert, steve james",,Q1 2008,,,,0,0,0,0,0,0,0,0,0,98
memorial day,nr,,"pedro rafael rodriguez, robert saietta, sarah nedwek",drama,02/04/2009 (wed),josh fox,ind,independent,,,english,"hunter gray, jim mckay, laura wagner, paul s. mezey",,Q1 2009,,,josh fox,0,0,1,1,0,0,0,0,1,93
lost angels: skid row is my home,nr,,,documentary,12/7/2012,thomas napper,clbr,cinema libre,,,english,"agi orsi, gary foster",,Q4 2012,dolby sr,flat,,"12,025",0,1,1,"9,053",0,"7,039","7,039",1,75
"bless me, ultima (re)",nr,,"benito martinez, castulo guerra, dolores heredia, luke ganalon, miriam colon",drama,2/22/2013,carl franklin,srep,sony repertory pictures,2013,,english,,gran via productions,Q1 2013,dolby srd,scope,carl franklin,0,207,0,0,0,0,0,0,0,0
devil's pass,nr,,"anastasiya burdina, gemma atkinson, holly goss, luke albright, matt stokoe, richard reid, ryan hawley","horror, foreign, suspense",8/23/2013,renny harlin,ind,independent,2013,,english,,,Q3 2013,,,vikram weet,0,116,0,0,0,0,0,0,0,100
dirty dealing 3d,r,,"aneia hamberg, ariana madix, c. thomas howell, frida farrell, madelon lane, michael madsen, patrice hollis",drama,12/5/2014,christopher robin hood,ind,independent,,,english,,,Q4 2014,,3d,christopher robin hood,0,0,0,0,0,0,0,0,0,0
lowriders,pg13,,"demian bichir, eva longoria, gabriel chavarria, melissa benoist, theo rossi, tony revolori",drama,5/12/2017,ricardo de montreuil,otl,otl releasing,2017,,english,"brian grazer, jason blum",,Q2 2017,,,,"6,303,560",116,295,365,"3,028,385","907,175","8,149","2,403,885",295,99
crazy,nr,,"ali larter, david conrad, lane garrison, scott michael campbell, waylon payne","drama, musical",10/17/2008,rick bieber,ind,independent,2010,,english,rick bieber,,Q4 2008,,flat,"jason ehlers, rick bieber",0,620,10,10,0,0,0,0,10,106
112 weddings,nr,,,documentary,unset,doug block,ind,independent,,,english,,,,,,,0,0,0,0,0,0,0,0,0,0
"debt, the (2011)",r,,"adar beck, ciaran hinds, helen mirren, jesper christensen, jessica chastain, marton csokas, romi aboulafia, sam worthington, tom wilkinson","suspense, drama",08/31/2011 (wed),john madden,foc,focus features,2011,,english,"eduardo rossoff, kris thykier, matthew vaughn","marv films, pioneer pictures",Q3 2011,quad,scope,"assaf bernstein, ido rosenblum, jane goldman, matthew vaughn","31,177,548",97,"1,786","1,876","15,195,542","970,532","5,427","9,909,499","1,826",113
just like us,r,,,documentary,6/10/2011,ahmed ahmed,cce,cross cultural entertainment,,,english,"matthew blaine, taylor feltner",,Q2 2011,,,,0,0,3,3,0,0,0,0,3,72
awake: the life of yogananda,nr,,"anupam kher, paramahansa yogananda",documentary,10/10/2014,"lisa leeman, paola di florio",ind,independent,2015,,english,"lisa leeman, paola di florio, peter rader, sarah rose bergman",,Q4 2014,dolby srd,flat,,"1,539,680",361,1,21,"34,136",0,"18,885","18,885",1,87
"raid: redemption, the",r,,"donny alamsyah, iang darmawan, iko uwais, joe taslim, pierre gruno, ray sahetapy, tegar satrya, yayan ruhian","action, crime, foreign, suspense",3/23/2012,gareth evans,spc,sony pictures classics,2012,,indonesian,"ario sagantoro, gareth evans",,Q1 2012,dolby srd,flat,gareth evans,"4,105,188",144,14,881,"311,946",0,"15,270","213,785",14,100
"rum diary, the",r,,"aaron eckhart, amber heard, giovanni ribisi, johnny depp, michael rispoli, richard jenkins","comedy, adventure, drama",10/28/2011,bruce robinson,flmd,filmdistrict,2012,,english,"anthony rhulen, christi dembrowski, graham king, johnny depp, robert kravis, tim headington",dark & stormy entertainment,Q4 2011,quad,flat,bruce robinson,"13,109,815",109,"2,272","2,292","7,435,734","1,841,255","2,260","5,135,369","2,272",122
raze,nr,,"rachel nicols, zoe bell","action, horror, suspense",1/10/2014,josh c. waller,ifc,ifc films,2014,,english,,,Q1 2014,dolby srd,scope,,"4,126",130,2,2,"4,126",0,"1,726","3,453",2,87
refusenik,nr,,,documentary,4/11/2008,laura bialis,abr,abramorama,,,english,laura bialis,,Q2 2008,,,,"39,456",0,2,3,"5,037",0,"1,532","3,064",2,120
only the brave (re),r,,"jason scott lee, jeff fahey, mark dacascos, pat morita, tamlyn tomita","drama, war",5/28/2010,lane nishikawa,idc,indican pictures,2009,,english,eric hayashi,,Q2 2010,dolby sr,,lane nishikawa,"132,459",-199,5,5,0,0,"2,965","14,825",5,99
american meth,nr,,val kilmer,documentary,4/13/2007,justin hunt,ind,independent,2008,,english,justin hunt,,Q2 2007,stereo,flat,,0,319,0,0,0,0,0,0,0,85
brave miss world,nr,,,"documentary, foreign",11/15/2013,,ind,independent,,,english,,,Q4 2013,,,,0,0,2,2,0,0,0,0,2,91
made in venice,nr,,,documentary,8/26/2016,jonathan penson,ind,independent,,,english,,,Q3 2016,,,,0,0,0,0,0,0,0,0,0,78
voiceless,pg13,,"james russo, jocelyn cruz, paul rodriguez, rusty joiner, victoria gates",drama,10/7/2016,pat necerato,artaff,artaffects,2017,,english,,,Q4 2016,dolby srd,scope,pat necerato,0,151,100,100,0,0,0,0,100,107
days and nights,nr,,"allison janney, ben whishaw, cherry jones, christian camargo, jean reno, katie holmes, michael nyqvist, william hurt",drama,9/26/2014,christian camargo,ifc,ifc films,2015,,english,,,Q3 2014,dolby srd,flat,,"13,243",123,1,1,"7,532",0,"6,003","6,003",1,91
letters from the big man,nr,,"isaac c. singleton jr., jason butler harner, jim cody williams, lily rabe",drama,11/11/2011,christopher munch,ind,independent,2012,,english,,,Q4 2011,,,,0,277,0,0,0,0,0,0,0,115
ice age: dawn of the dinosaurs,pg,,"bill hader, chris wedge, denis leary, jane lynch, john leguizamo, kristen wiig, queen latifah, ray romano, seann william scott, simon pegg","animation, adventure, comedy, family",07/01/2009 (wed),"carlos saldanha, mike thurmeier",fox,20th century fox,2009,,english,"john c. donkin, lori forte",blue sky studios,Q3 2009,quad,"3d, flat","michael berg, peter ackerman","196,573,705",118,"4,032","4,102","67,030,210","13,791,157","10,171","41,690,382","4,099",94
"tripper, the",r,,"balthazar getty, courteney cox arquette, david arquette, jaime king, jason mewes, lukas haas, paul reubens, paz de la huerta, thomas jane",horror,4/20/2007,david arquette,reel,reel source,2007,,english,"courteney cox arquette, david arquette, neil a machlis",raw entertainment,Q2 2007,"sdds, stereo",flat,,"20,840",186,50,50,"20,840",0,417,"20,840",50,94
charade (re: 1999),nr,,"audrey hepburn, cary grant, dominique minot, george kennedy, james coburn, walter matthau","comedy, mystery, romance",6/28/2013,stanley donen,ind,independent,1997,,english,stanley donen,stanley donen films,Q2 2013,,,peter stone,0,"-5,778",0,0,0,0,0,0,0,0
misconduct,r,,"al pacino, alice eve, anthony hopkins, byung-hun lee, josh duhamel, julia stiles, malin akerman",suspense,2/5/2016,shintaro shimosawa,lgpr,lionsgate premiere releasing,2016,,english,ellen s. wander,mike and marty productions,Q1 2016,,,"adam mason, simon boyes","34,194",74,29,29,"24,090",0,520,"15,072",29,106
boy wonder,r,,"bill sage, caleb steinmeyer, chuck cooper, tracy middendorf, zulay henao",suspense,10/21/2011,michael morrissey,lig,lightning entertainment,2011,,english,"john scaccia, michael morrissey",,Q4 2011,dolby sr,scope,michael morrissey,0,18,0,0,0,0,0,0,0,96
primeval,r,,"brooke langton, dominic purcell, gideon emery, jurgen prochnow, orlando jones","adventure, action, suspense",1/12/2007,michael katleman,dis,disney,2007,,english,gavin polone,pariah,Q1 2007,quad,scope,,"10,597,734",151,"2,444","2,444","7,716,473","2,230,445","2,475","6,048,315","2,444",94
ribbons,r,,"anna easteden, brian krause, chino binamo, d.c. douglas, haidyn harvey, kym jackson, patrick hickman","action, suspense",9/22/2017,elias matar,idc,indican pictures,,,english,"brian krause, elias matar",,Q3 2017,dts,scope,"edward e. romero, elias matar","27,959",0,5,5,"9,730",0,"1,143","5,715",5,95
slow burn,r,,"bruce mcgill, chiwetel ejiofor, guy torry, james spader, jolene blalock, ll cool j, mekhi phifer, ray liotta, robert reynolds, taye diggs","drama, suspense",4/13/2007,wayne beach,lgf,lionsgate,2007,,english,"bonnie timmermann, john penotti, sidney kimmel, tim williams","greenestreet films, longfellow pictures, sidney kimmel entertainment",Q2 2007,"dolby sr, dolby srd",flat,,"1,237,615",102,"1,163","1,163","1,062,047","257,357",669,"778,123","1,163",93
begin again,r,,"adam levine, catherine keener, ceelo green, dante 'mos def' smith, hailee steinfeld, keira knightley, mark ruffalo","musical, comedy",6/27/2014,john carney,twc,the weinstein company,2014,,english,"anthony bregman, judd apatow, tobin armbrust",,Q2 2014,dolby srd,flat,john carney,"16,170,632",123,5,"1,302","538,249","43,303","26,813","134,064",5,104
11-Sep,r,,"bruce davison, charlie sheen, gina gershon, jacqueline bisset, luis guzman, olga fonda, whoopi goldberg, wood harris",action,9/8/2017,martin guigui,atlas,atlas distribution company,2018,,english,"dahlia waingort, martin sprock, warren ostergard","black bear pictures, film house, the, sprockefeller pictures",Q3 2017,dolby srd,scope,"martin guigui, steven james golebiowski","172,000",130,398,398,"48,000",0,121,"48,000",398,90
fly away,nr,,"ashley rickards, beth broderick, greg germann",drama,4/15/2011,janet grillo,pmk,pmk*bnc,2011,,english,"janet grillo, pavlina hatoupis",,Q2 2011,,digital,janet grillo,0,11,4,4,0,0,0,0,4,80
7 minutes (2015),nr,,"jason ritter, kevin gage, kris kristofferson, leven rambin, luke mitchell, zane holtz","suspense, drama",6/26/2015,jay martin,starz,starz,2015,,english,,,Q2 2015,dolby sr,scope,jay martin,0,67,0,0,0,0,0,0,0,84
seeds of time,nr,,,documentary,5/22/2015,sandy mcleod,knlor,kino lorber,2015,,english,sandy mcleod,,Q2 2015,dolby srd,flat,,"4,636",151,1,2,"1,828",0,0,0,1,77
diana vreeland: the eye has to travel,pg13,,,documentary,9/21/2012,lisa immordino vreeland,idp/sgf,idp/samuel goldwyn films,2013,,english,lisa immordino vreeland,,Q3 2012,,,,"1,017,579",137,3,27,"102,845",0,"21,233","63,700",3,86
leatherheads,pg13,,"george clooney, john krasinski, renee zellweger, stephen root",romantic comedy,4/4/2008,george clooney,uni,universal,2008,,english,"casey silver, george clooney, grant heslov","road rebel, smoke house",Q2 2008,quad,flat,george clooney,"31,373,938",172,"2,769","2,798","15,699,915","4,596,540","4,580","12,682,595","2,769",114
belleville,nr,,"adam parker, antonio st. james, bill finkbiner, chris talley armstrong, cooper shaw, eric dean white, jessica ambuehl, joe hammerstone, john launius, kate barton, keith nussbaum, ted jordan, ted leblang, ted trent, tim o'leary, william conklin","comedy, family",04/22/2014 (tue),dan steadman,ind,independent,,,,ted trent,,Q2 2014,,,dan steadman,0,0,0,0,0,0,0,0,0,92
beyond sight: the derek rabelo story,nr,,,documentary,8/15/2014,"bruno lemos, bryan s. jennings",ind,independent,,,english,,,Q3 2014,dolby srd,digital,,0,0,0,0,0,0,0,0,0,84
"11/4/08 (november 4, 2008)",nr,,,documentary,10/20/2010 (wed),jeff deutchman,emg,emerging pictures,,,english,,,Q4 2010,,,,0,0,0,0,0,0,0,0,0,0
project x,r,,"alexis knapp, jonathan daniel brown, miles teller, oliver cooper, thomas mann",comedy,3/2/2012,nima nourizadeh,wb,warner bros.,2012,,english,todd phillips,"green hat films, silver pictures",Q1 2012,quad,flat,matt drake,"54,731,865",109,"3,055","3,055","28,574,995","8,125,879","6,891","21,051,363","3,055",88
"founders, the",,,,documentary,,"carrie schrader, charlene fisk",oth,other,,,english,charlene fisk,,,,,"carrie schrader, dana lee, maureen simpson",0,0,0,0,0,0,0,0,0,0
towelhead,r,,"aaron eckhart, maria bello, peter macdissi, summer bishil, toni collette",drama,9/12/2008,alan ball,wb,warner bros.,2008,,english,ted hope,indian paintbrush,Q3 2008,quad,scope,,"372,124",109,4,100,"73,452","15,694","13,206","52,823",4,116
eating out 3: all you can eat,nr,,"chris salvatore, daniel skelton, john stallings, julianne nicholson, leslie jordan, michael walker, mink stole, rebekah kochan","comedy, romance",10/9/2009,glenn gaylord,ind,independent,,,english,"kirk cruz, michael shoel",,Q4 2009,,,phillip j. bartell,0,0,0,0,0,0,0,0,0,80
new year parade,nr,,"andrew conway, greg lyons, irene longshore, jennifer welsh, maryanne mcdonald, paul blackway","drama, family",10/30/2009,tom quinn,ind,independent,2009,,english,"steve beal, tom quinn",,Q4 2009,,,tom quinn,"6,767",24,1,1,"4,182",0,"2,698","2,698",1,85
valley of the heart's delight,nr,,"andy arness, bruce mcgill, diana scarwid, emily harrison, gabriel mann, heather barberie, pete postlethwaite, tom bower",drama,10/26/2007,tim boxell,idc,indican pictures,2009,,english,miles murphy,,Q4 2007,,flat,,"119,290",760,0,8,0,0,0,0,0,119
pirates of the caribbean: at world's end,pg13,,"bill nighy, david schofield, geoffrey rush, jack davenport, johnny depp, jonathan pryce, keira knightley, kevin mcnally, naomie harris, orlando bloom","action, adventure, comedy, fantasy",5/25/2007,gore verbinski,dis,disney,2007,,english,jerry bruckheimer,jerry bruckheimer films,Q2 2007,quad,scope,"ted elliott, terry rossio","309,420,425",193,"4,362","4,362","173,339,068","42,910,392","26,303","114,732,820","4,362",168
"k-love fan awards 'ignite hope', the",pg,,,special events,06/13/2017 (tue),event director,fthm,fathom events,,,english,,,Q2 2017,dolby srd,,,"343,146",0,543,543,0,"343,146",0,0,0,120
i'm not like that no more,r,,"deborah baker jr., edwin san juan, felipe esparza, paul rodriguez",comedy,4/23/2010,christian sesma,ind,independent,,,english,"helyn taylor, mason mukai",,Q2 2010,,,christian sesma,0,0,0,0,0,0,0,0,0,90
free ride (2014),,,"anna paquin, ava acres, brit morgan, cam gigandet, drea de matteo, eddie pepitone, j. larose, jeff hephner, john kapelos, kyle t. heffner, liana liberato, lloyd owen, sabrina gennarino, vivian fleming-alvarez, yvette yates","drama, action",1/10/2014,shana betz,ind,independent,2014,,english,"anna paquin, cerise hallam larkin, susan dynner","aberration films, casm films, pantry films",Q1 2014,,,shana betz,0,74,0,0,0,0,0,0,0,86
around june,nr,,"brad william henke, jon gries, michael a. goorjian, oscar h. guerrero, samaire armstrong","drama, romance",2/24/2012,james savoca,idc,indican pictures,2012,,english,"james savoca, jeremiah birnbaum, ralph king",,Q1 2012,,,james savoca,"12,578",74,0,2,0,0,0,0,0,93
dog wedding,pg13,,,,3/11/2016,james lefkowitz,ind,independent,,,english,,,Q1 2016,,,,0,0,1,1,"15,764","4,096","12,132","12,132",1,96
"limits of control, the",r,,"bill murray, gael garcia bernal, hiam abbass, issach de bankole, john hurt, oscar jaenada, tilda swinton","drama, foreign, mystery",5/1/2009,jim jarmusch,foc,focus features,2009,,english,"gretchen mcgowan, stacey e. smith",focus features,Q2 2009,"dts, dolby srd",flat,jim jarmusch,"426,688",200,3,27,"79,776","17,224","18,607","55,820",3,116
arthur & lancelot,,,,,unset,david dobkin,oth,other,,,english,,,,quad,,,0,0,0,0,0,0,0,0,0,0
one bad cat: the reverend albert wagner,nr,,,documentary,8/15/2008,thomas g. miller,ind,independent,,,english,thomas g. miller,,Q3 2008,,flat,thomas g. miller,0,0,1,1,0,0,0,0,1,81
keeping up with the joneses,pg13,,"gal gadot, isla fisher, jon hamm, maribeth monroe, matt walsh, zach galifianakis","comedy, action",10/21/2016,greg mottola,fox,20th century fox,2017,,english,"laurie macdonald, walter parkes","fox 2000 pictures, parkes+macdonald image nation",Q4 2016,,scope,michael lesieur,"14,904,426",88,"3,022","3,022","7,404,313","1,979,750","1,807","5,461,475","3,022",105
